ID,innings,BattingTeam,bowling_team,total_run_y
1254093,2,Mumbai Indians,Rajasthan Royals,94
1254092,1,Delhi Capitals,Kolkata Knight Riders,127
1254092,2,Kolkata Knight Riders,Delhi Capitals,130
1254091,1,Sunrisers Hyderabad,Chennai Super Kings,134
1254091,2,Chennai Super Kings,Sunrisers Hyderabad,139
1254090,1,Royal Challengers Bangalore,Punjab Kings,164
1254090,2,Punjab Kings,Royal Challengers Bangalore,158
1254089,1,Chennai Super Kings,Rajasthan Royals,189
1254089,2,Rajasthan Royals,Chennai Super Kings,190
1254088,1,Mumbai Indians,Sunrisers Hyderabad,235
1254088,2,Sunrisers Hyderabad,Mumbai Indians,193
1254087,1,Royal Challengers Bangalore,Kolkata Knight Riders,92
1254087,2,Kolkata Knight Riders,Royal Challengers Bangalore,94
1254086,1,Punjab Kings,Delhi Capitals,166
1254086,2,Delhi Capitals,Punjab Kings,167
1254085,1,Rajasthan Royals,Sunrisers Hyderabad,220
1254085,2,Sunrisers Hyderabad,Rajasthan Royals,165
1254084,1,Chennai Super Kings,Mumbai Indians,218
1254084,2,Mumbai Indians,Chennai Super Kings,219
1254083,1,Punjab Kings,Royal Challengers Bangalore,179
1254083,2,Royal Challengers Bangalore,Punjab Kings,145
1254082,1,Kolkata Knight Riders,Delhi Capitals,154
1254082,2,Delhi Capitals,Kolkata Knight Riders,156
1254081,1,Rajasthan Royals,Mumbai Indians,171
1254081,2,Mumbai Indians,Rajasthan Royals,172
1254080,1,Sunrisers Hyderabad,Chennai Super Kings,171
1254080,2,Chennai Super Kings,Sunrisers Hyderabad,173
1254079,1,Royal Challengers Bangalore,Delhi Capitals,171
1254079,2,Delhi Capitals,Royal Challengers Bangalore,170
1254078,1,Punjab Kings,Kolkata Knight Riders,123
1254078,2,Kolkata Knight Riders,Punjab Kings,126
1254077,1,Delhi Capitals,Sunrisers Hyderabad,159
1254077,2,Sunrisers Hyderabad,Delhi Capitals,159
1254077,3,Sunrisers Hyderabad,,7
1254077,4,Delhi Capitals,,8
1254076,1,Chennai Super Kings,Royal Challengers Bangalore,191
1254076,2,Royal Challengers Bangalore,Chennai Super Kings,122
1254075,1,Kolkata Knight Riders,Rajasthan Royals,133
1254075,2,Rajasthan Royals,Kolkata Knight Riders,134
1254074,1,Mumbai Indians,Punjab Kings,131
1254074,2,Punjab Kings,Mumbai Indians,132
1254073,1,Rajasthan Royals,Royal Challengers Bangalore,177
1254073,2,Royal Challengers Bangalore,Rajasthan Royals,181
1254072,1,Chennai Super Kings,Kolkata Knight Riders,220
1254072,2,Kolkata Knight Riders,Chennai Super Kings,202
1254071,1,Punjab Kings,Sunrisers Hyderabad,120
1254071,2,Sunrisers Hyderabad,Punjab Kings,121
1254070,1,Mumbai Indians,Delhi Capitals,137
1254070,2,Delhi Capitals,Mumbai Indians,138
1254069,1,Chennai Super Kings,Rajasthan Royals,188
1254069,2,Rajasthan Royals,Chennai Super Kings,143
1254068,1,Punjab Kings,Delhi Capitals,195
1254068,2,Delhi Capitals,Punjab Kings,198
1254067,1,Royal Challengers Bangalore,Kolkata Knight Riders,204
